"case_id","evidence_scope","school_id","school_name","url","automated_status","identity_confidence","matched_identifiers","failure_code","automated_notes","include_in_audit","human_expected_identity","human_expected_status","reviewer_notes"
"identity-school-centre-nt0440","school","CENTRE:NT0440","MY FIRST SKOOL","https://www.myfirstskool.com/cvc-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/cvc-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9120","school","CENTRE:PT9120","STAR LEARNERS @ RIVERVALE PTE LTD","https://starlearners.com.sg/our-centres/sengkang-rivervale","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0593","school","CENTRE:NT0593","My First Skool","https://www.myfirstskool.com/rvc03-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/rvc03-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0568","school","CENTRE:NT0568","MY FIRST SKOOL","https://www.myfirstskool.com/rvc02-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/rvc02-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-nt0370","school","CENTRE:NT0370","MY FIRST SKOOL","https://www.myfirstskool.com/skc-lifesg","fetch_failed","unknown","","robots_disallowed","Site policy disallows fetching https://www.myfirstskool.com/skc-lifesg","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt8587","school","CENTRE:PT8587","PICKET FENCE @ TAMPINES PTE. LTD.","https://www.pf-edu.com/","fetch_failed","unknown","","unsafe_redirect","Redirected to a non-HTTPS URL","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt8352","school","CENTRE:PT8352","SUNSHINE KIDS EDUCARE PRIVATE LIMITED","https://www.sunshinekidseducare.online/","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-rc1835","school","CENTRE:RC1835","Soka Preschool","https://www.sokapreschool.org/","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-rc1848","school","CENTRE:RC1848","RIVERLIFE KINDERGARTEN","https://www.riverlifekindergarten.org.sg/","approved","high","postal_code | school_name | address","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt4840","school","CENTRE:PT4840","Pebble Place Development Centre","https://www.pebbleplacedc.com/","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9145","school","CENTRE:PT9145","ORION PRESCHOOL","https://www.orionpreschool.com.sg/","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-rc1150","school","CENTRE:RC1150","MORIAH CHILD CARE AND DEVELOPMENT CENTRE","https://www.moriahbpc.org/childcare","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9932","school","CENTRE:PT9932","Lumina International School","https://www.luminasg.com/","approved","high","postal_code | school_name | address | operator_domain","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9692","school","CENTRE:PT9692","Little Skittles International Preschool","https://www.littleskittles.com.sg/","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-rc1680","school","CENTRE:RC1680","KIDS' KINGDOM CHILD DEVELOPMENT AND LEARNING CENTRE","http://www.kidskingdomcdlc.com/","fetch_failed","unknown","","invalid_url","Only absolute HTTPS URLs may be fetched","yes","incorrect","rejected","Broken, inaccessible, or indefinitely loading page"
"identity-school-centre-rc1875","school","CENTRE:RC1875","Jurong Calvary Kindergarten","https://jurongcalvarykindergarten.com/","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt9523","school","CENTRE:PT9523","GUG PRESCHOOL @ TAMPINES PTE LTD","https://www.gugifted.com/","rejected","low","","","Insufficient school-specific identity evidence","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt7800","school","CENTRE:PT7800","GENIUS SCHOOL HOUSE","https://www.geniusschoolhouse.com/","approved","high","postal_code | school_name | address","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-rc1799","school","CENTRE:RC1799","David & Goliath Preschool","https://www.davidgoliath.sg/","approved","high","postal_code | school_name | address","","Strong school identity match","yes","school","approved","Postal code and branch address match"
"identity-school-centre-pt9585","school","CENTRE:PT9585","Cedan Kindergarten","https://www.cedankindergarten.com.sg/","fetch_failed","unknown","","server_error","Fetch failed for https://www.cedankindergarten.com.sg/: HTTP 500","yes","incorrect","rejected","Broken, inaccessible, or indefinitely loading page"
"identity-school-centre-pt9068","school","CENTRE:PT9068","ESHKOL VALLEY @ NORTHSTAR PTE. LTD.","https://eshkolvalley.com.sg/","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes ","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt8736","school","CENTRE:PT8736","The Schoolhouse Dover","https://theschoolhouse.com.sg/dover","pending_review","medium","school_name | address | operator_domain","","Multiple weak matches require review","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt8040","school","CENTRE:PT8040","The Schoolhouse Gentle Road","https://theschoolhouse.com.sg/gentle-road","fetch_failed","unknown","","javascript_required","No readable page text was extracted","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-school-centre-pt8811","school","CENTRE:PT8811","Small Wonder Preschool Choa Chu Kang","http://www.smallwonderpreschool.com/","fetch_failed","unknown","","invalid_url","Only absolute HTTPS URLs may be fetched","yes","school","fetch_failed","Identity is correct; technical ingestion failed because the branch information is JavaScript-rendered."
"identity-operator-operator_page-7e0b866ebfbd51f6","operator","","pcf.org.sg","https://www.pcf.org.sg/sparkletots","fetch_failed","operator_level","shared catalogue URL","robots_disallowed","Site policy disallows fetching https://www.pcf.org.sg/sparkletots","yes","operator","approved_operator",""
"identity-operator-operator_page-79a3ec4765d2ea45","operator","","skool4kidz.com.sg","https://skool4kidz.com.sg/","fetch_failed","operator_level","shared catalogue URL","robots_disallowed","Site policy disallows fetching https://skool4kidz.com.sg/","yes","operator","approved_operator",""
"identity-operator-operator_page-7743e2eec6fc1200","operator","","smallwonderpreschool.com","https://smallwonderpreschool.com/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes","operator","approved_operator",""
"identity-operator-operator_page-3c8c414a56953d63","operator","","littleseeds.edu.sg","https://www.littleseeds.edu.sg/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes","operator","approved_operator",""
"identity-operator-operator_page-56f9d15be2036a11","operator","","littleskoolhouse.com","https://www.littleskoolhouse.com/","fetch_failed","operator_level","shared catalogue URL","robots_disallowed","Site policy disallows fetching https://www.littleskoolhouse.com/","yes","operator","approved_operator",""
"identity-operator-operator_page-f2e3f97ff97b7db4","operator","","nurturestars.sg","https://www.nurturestars.sg/","fetch_failed","operator_level","shared catalogue URL","robots_disallowed","Site policy disallows fetching https://www.nurturestars.sg/","yes","operator","approved_operator",""
"identity-operator-operator_page-1ebeeb19860e1843","operator","","info.e-bridge.edu.sg","https://info.e-bridge.edu.sg/registration-of-interest","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes","operator","rejected","Broken, inaccessible, or indefinitely loading page"
"identity-operator-operator_page-92deb201492d9fa2","operator","","myworld.org.sg","https://www.myworld.org.sg/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes","operator","approved_operator",""
"identity-operator-operator_page-cde3faf506f0006b","operator","","littlefootprints.edu.sg","https://www.littlefootprints.edu.sg/","fetch_failed","operator_level","shared catalogue URL","robots_disallowed","Site policy disallows fetching https://www.littlefootprints.edu.sg/","yes ","operator","approved_operator",""
"identity-operator-operator_page-b80e75e019fc114e","operator","","smallwonderpreschool.com","https://www.smallwonderpreschool.com/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes ","operator","approved_operator",""
"identity-operator-operator_page-c811d77d58fcaf51","operator","","carpediem.com.sg","https://www.carpediem.com.sg/","fetch_failed","operator_level","shared catalogue URL","robots_unavailable","Could not verify site policy at https://www.carpediem.com.sg/robots.txt","yes ","operator","approved_operator",""
"identity-operator-operator_page-e08c08956f2a822d","operator","","learningkidz.com.sg","https://www.learningkidz.com.sg/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes ","operator","approved_operator",""
"identity-operator-operator_page-857e29fa40f3ff2c","operator","","littletreasures.com.sg","https://www.littletreasures.com.sg/","approved_operator","operator_level","shared catalogue URL","","Shared page is approved only as operator-level evidence; it is not proof of a branch claim.","yes ","operator","approved_operator",""
